DATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01-01-1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01-02-1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01-03-1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01-04-1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01-05-1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01-06-1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01-07-1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01-08-1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01-09-1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01-10-1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01-11-1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01-12-1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01-01-1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01-02-1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01-03-1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01-04-1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01-05-1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01-06-1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01-07-1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01-08-1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01-09-1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01-10-1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01-11-1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01-12-1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01-01-1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01-02-1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01-03-1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
